ticker,date,source,headline,vader_score,vader_label
AAPL,2024-11-20,New York Post,'Pray to God that we all survive',0.5267,positive
AAPL,2023-04-03,9to5Mac,Apple stock soared over 15% today ahead of possible tariff exemptions,0.0,neutral
AAPL,2024-02-23,TechRadar,"Amazon just launched a surprise tech sale: stock up and save on TVs, Apple devices, smart home gadgets, and more",0.8481,positive
AAPL,2023-09-11,NBC News,Apple’s 3-day loss in market cap swells to almost $640 billion,-0.3182,negative
AAPL,2024-09-11,MacRumors,Apple's Stock Had a Wild Morning,0.0,neutral
AAPL,2023-04-04,MacRumors,Apple Stock Sell-Off Continues After China Unveils Matching Tariffs,0.0,neutral
AAPL,2024-03-31,Motley Fool Australia,Which Magnificent 7 stock is most impacted by Trump's tariffs?,0.5994,positive
AAPL,2023-10-23,Toronto Star,Stock markets plunge as Trump tariffs wreak havoc,-0.5994,negative
AAPL,2023-02-04,Toronto Star,Stock markets plunge as Trump tariffs wreak havoc,-0.5994,negative
AAPL,2023-09-01,The Verge,Apple has its biggest stock drop in five years because of Trump’s tariffs,-0.2732,negative
AAPL,2023-10-26,New York Post,'Pray to God that we all survive',0.5267,positive
AAPL,2023-08-21,9to5Mac,Apple stock soared over 15% today ahead of possible tariff exemptions,0.0,neutral
AAPL,2024-03-14,TechRadar,"Amazon just launched a surprise tech sale: stock up and save on TVs, Apple devices, smart home gadgets, and more",0.8481,positive
AAPL,2023-10-24,NBC News,Apple’s 3-day loss in market cap swells to almost $640 billion,-0.3182,negative
AAPL,2023-06-19,MacRumors,Apple's Stock Had a Wild Morning,0.0,neutral
AAPL,2023-12-10,MacRumors,Apple Stock Sell-Off Continues After China Unveils Matching Tariffs,0.0,neutral
AAPL,2024-06-21,Motley Fool Australia,Which Magnificent 7 stock is most impacted by Trump's tariffs?,0.5994,positive
AAPL,2024-06-09,Toronto Star,Stock markets plunge as Trump tariffs wreak havoc,-0.5994,negative
AAPL,2024-05-16,Toronto Star,Stock markets plunge as Trump tariffs wreak havoc,-0.5994,negative
AAPL,2024-01-07,The Verge,Apple has its biggest stock drop in five years because of Trump’s tariffs,-0.2732,negative
AAPL,2024-09-06,New York Post,'Pray to God that we all survive',0.5267,positive
AAPL,2024-01-04,9to5Mac,Apple stock soared over 15% today ahead of possible tariff exemptions,0.0,neutral
AAPL,2023-06-09,TechRadar,"Amazon just launched a surprise tech sale: stock up and save on TVs, Apple devices, smart home gadgets, and more",0.8481,positive
AAPL,2023-06-29,NBC News,Apple’s 3-day loss in market cap swells to almost $640 billion,-0.3182,negative
AAPL,2024-10-08,MacRumors,Apple's Stock Had a Wild Morning,0.0,neutral
AAPL,2024-10-12,MacRumors,Apple Stock Sell-Off Continues After China Unveils Matching Tariffs,0.0,neutral
AAPL,2024-02-23,Motley Fool Australia,Which Magnificent 7 stock is most impacted by Trump's tariffs?,0.5994,positive
AAPL,2024-04-15,Toronto Star,Stock markets plunge as Trump tariffs wreak havoc,-0.5994,negative
AAPL,2023-08-10,Toronto Star,Stock markets plunge as Trump tariffs wreak havoc,-0.5994,negative
AAPL,2024-03-22,The Verge,Apple has its biggest stock drop in five years because of Trump’s tariffs,-0.2732,negative
AAPL,2024-11-01,New York Post,'Pray to God that we all survive',0.5267,positive
AAPL,2023-12-25,9to5Mac,Apple stock soared over 15% today ahead of possible tariff exemptions,0.0,neutral
AAPL,2023-08-07,TechRadar,"Amazon just launched a surprise tech sale: stock up and save on TVs, Apple devices, smart home gadgets, and more",0.8481,positive
AAPL,2024-08-11,NBC News,Apple’s 3-day loss in market cap swells to almost $640 billion,-0.3182,negative
AAPL,2023-06-10,MacRumors,Apple's Stock Had a Wild Morning,0.0,neutral
AAPL,2024-03-28,MacRumors,Apple Stock Sell-Off Continues After China Unveils Matching Tariffs,0.0,neutral
AAPL,2023-06-22,Motley Fool Australia,Which Magnificent 7 stock is most impacted by Trump's tariffs?,0.5994,positive
AAPL,2023-08-27,Toronto Star,Stock markets plunge as Trump tariffs wreak havoc,-0.5994,negative
AAPL,2023-01-08,Toronto Star,Stock markets plunge as Trump tariffs wreak havoc,-0.5994,negative
AAPL,2023-11-08,The Verge,Apple has its biggest stock drop in five years because of Trump’s tariffs,-0.2732,negative
AAPL,2023-11-20,New York Post,'Pray to God that we all survive',0.5267,positive
AAPL,2023-03-19,9to5Mac,Apple stock soared over 15% today ahead of possible tariff exemptions,0.0,neutral
AAPL,2024-04-29,TechRadar,"Amazon just launched a surprise tech sale: stock up and save on TVs, Apple devices, smart home gadgets, and more",0.8481,positive
AAPL,2024-05-31,NBC News,Apple’s 3-day loss in market cap swells to almost $640 billion,-0.3182,negative
AAPL,2024-09-23,MacRumors,Apple's Stock Had a Wild Morning,0.0,neutral
AAPL,2023-03-17,MacRumors,Apple Stock Sell-Off Continues After China Unveils Matching Tariffs,0.0,neutral
AAPL,2023-04-25,Motley Fool Australia,Which Magnificent 7 stock is most impacted by Trump's tariffs?,0.5994,positive
AAPL,2024-11-22,Toronto Star,Stock markets plunge as Trump tariffs wreak havoc,-0.5994,negative
AAPL,2024-08-11,Toronto Star,Stock markets plunge as Trump tariffs wreak havoc,-0.5994,negative
AAPL,2024-07-01,The Verge,Apple has its biggest stock drop in five years because of Trump’s tariffs,-0.2732,negative
AAPL,2024-07-22,New York Post,'Pray to God that we all survive',0.5267,positive
AAPL,2024-09-02,9to5Mac,Apple stock soared over 15% today ahead of possible tariff exemptions,0.0,neutral
AAPL,2024-08-19,TechRadar,"Amazon just launched a surprise tech sale: stock up and save on TVs, Apple devices, smart home gadgets, and more",0.8481,positive
AAPL,2024-06-05,NBC News,Apple’s 3-day loss in market cap swells to almost $640 billion,-0.3182,negative
AAPL,2024-08-30,MacRumors,Apple's Stock Had a Wild Morning,0.0,neutral
AAPL,2024-03-15,MacRumors,Apple Stock Sell-Off Continues After China Unveils Matching Tariffs,0.0,neutral
AAPL,2023-09-08,Motley Fool Australia,Which Magnificent 7 stock is most impacted by Trump's tariffs?,0.5994,positive
AAPL,2024-06-25,Toronto Star,Stock markets plunge as Trump tariffs wreak havoc,-0.5994,negative
AAPL,2023-02-19,Toronto Star,Stock markets plunge as Trump tariffs wreak havoc,-0.5994,negative
AAPL,2024-08-18,The Verge,Apple has its biggest stock drop in five years because of Trump’s tariffs,-0.2732,negative
AAPL,2024-09-06,New York Post,'Pray to God that we all survive',0.5267,positive
AAPL,2024-01-15,9to5Mac,Apple stock soared over 15% today ahead of possible tariff exemptions,0.0,neutral
AAPL,2024-10-06,TechRadar,"Amazon just launched a surprise tech sale: stock up and save on TVs, Apple devices, smart home gadgets, and more",0.8481,positive
AAPL,2023-11-09,NBC News,Apple’s 3-day loss in market cap swells to almost $640 billion,-0.3182,negative
AAPL,2024-04-15,MacRumors,Apple's Stock Had a Wild Morning,0.0,neutral
AAPL,2023-12-03,MacRumors,Apple Stock Sell-Off Continues After China Unveils Matching Tariffs,0.0,neutral
AAPL,2023-11-11,Motley Fool Australia,Which Magnificent 7 stock is most impacted by Trump's tariffs?,0.5994,positive
AAPL,2023-04-08,Toronto Star,Stock markets plunge as Trump tariffs wreak havoc,-0.5994,negative
AAPL,2024-07-01,Toronto Star,Stock markets plunge as Trump tariffs wreak havoc,-0.5994,negative
AAPL,2024-11-07,The Verge,Apple has its biggest stock drop in five years because of Trump’s tariffs,-0.2732,negative
AAPL,2024-10-19,New York Post,'Pray to God that we all survive',0.5267,positive
AAPL,2023-12-04,9to5Mac,Apple stock soared over 15% today ahead of possible tariff exemptions,0.0,neutral
